"X.station_no","X1035944"
"#station_name","Lake Panasoffkee at CR 455"
"#ts_unitsymbol","ft"
"#rows","441"
"#Timestamp","Value"
"2025-04-11 00:00:00","38.94"
"2025-04-12 00:00:00","38.95"
"2025-04-13 00:00:00","38.94"
"2025-04-14 00:00:00","38.94"
"2025-04-15 00:00:00","38.94"
"2025-04-16 00:00:00","38.95"
"2025-04-17 00:00:00","38.95"
"2025-04-18 00:00:00","38.94"
"2025-04-19 00:00:00","38.94"
"2025-04-20 00:00:00","38.94"
"2025-04-21 00:00:00","38.93"
"2025-04-22 00:00:00","38.93"
"2025-04-23 00:00:00","38.93"
"2025-04-24 00:00:00","38.93"
"2025-04-25 00:00:00","38.92"
"2025-04-26 00:00:00","38.92"
"2025-04-27 00:00:00","38.92"
"2025-04-28 00:00:00","38.91"
"2025-04-29 00:00:00","38.93"
"2025-04-30 00:00:00","38.92"
"2025-05-01 00:00:00","38.91"
"2025-05-02 00:00:00","38.91"
"2025-05-03 00:00:00","38.90"
"2025-05-04 00:00:00","38.97"
"2025-05-05 00:00:00","39.00"
"2025-05-06 00:00:00","38.99"
"2025-05-07 00:00:00","38.99"
"2025-05-08 00:00:00","38.98"
"2025-05-09 00:00:00","38.98"
"2025-05-10 00:00:00","38.97"
"2025-05-11 00:00:00","38.98"
"2025-05-12 00:00:00","39.10"
"2025-05-13 00:00:00","39.12"
"2025-05-14 00:00:00","39.12"
"2025-05-15 00:00:00","39.11"
"2025-05-16 00:00:00","39.10"
"2025-05-17 00:00:00","39.09"
"2025-05-18 00:00:00","39.08"
"2025-05-19 00:00:00","39.07"
"2025-05-20 00:00:00","39.05"
"2025-05-21 00:00:00","39.03"
"2025-05-22 00:00:00","39.01"
"2025-05-23 00:00:00","38.97"
"2025-05-24 00:00:00","38.94"
"2025-05-25 00:00:00","38.91"
"2025-05-26 00:00:00","38.88"
"2025-05-27 00:00:00","38.86"
"2025-05-28 00:00:00","38.84"
"2025-05-29 00:00:00","38.83"
"2025-05-30 00:00:00","38.89"
"2025-05-31 00:00:00","38.91"
"2025-06-01 00:00:00","38.88"
"2025-06-02 00:00:00","38.83"
"2025-06-03 00:00:00","38.80"
"2025-06-04 00:00:00","38.77"
"2025-06-05 00:00:00","38.75"
"2025-06-06 00:00:00","38.73"
